iter	RMSE
144	4.873093812
145	4.869669382
146	4.865741389
147	4.858762256
148	4.8535141
149	4.84693003
150	4.840821441
151	4.835803764
152	4.831188285
153	4.826787073
154	4.822768877
155	4.815415633
156	4.810455392
157	4.80725284
158	4.800085714
159	4.795558318
160	4.791767625
161	4.788706901
162	4.783976898
163	4.781828402
164	4.779977754
165	4.776516536
166	4.769989314
167	4.766434648
168	4.763025939
169	4.755973126
170	4.750285437
171	4.747542854
172	4.743044218
173	4.739818985
174	4.737885322
175	4.737055567
176	4.73542102
177	4.732656477
178	4.726941889
179	4.720414022
180	4.716803971
181	4.712460417
182	4.709743129
183	4.702336089
184	4.699826914
185	4.69694828
186	4.692989312
187	4.689180418
188	4.68102396
189	4.673461192
190	4.66621996
191	4.663262048
192	4.65666097
193	4.650266161
194	4.647152407
195	4.642894647
196	4.635125548
197	4.628902238
198	4.625190544
199	4.622410538
200	4.618560997
201	4.615160365
202	4.609112186
203	4.606317196
204	4.602542088
205	4.600624818
206	4.593420684
207	4.588319902
208	4.584270657
209	4.582895774
210	4.580098144
211	4.574022584
212	4.570717963
213	4.566219842
214	4.562124391
215	4.559909662
216	4.556505674
217	4.553528604
218	4.550243718
219	4.547751934
220	4.5447072
221	4.542059211
222	4.538166108
223	4.534585716
224	4.53197627
225	4.529780183
226	4.524942309
227	4.518197746
228	4.513592184
229	4.507389771
230	4.502390067
231	4.497867569
232	4.493169802
233	4.488155403
234	4.485022687
235	4.483344212
236	4.481087802
237	4.479616761
238	4.478373525
239	4.476971665
240	4.472286548
241	4.470779959
242	4.468008701
243	4.464585751
244	4.462083501
245	4.457843856
246	4.454116253
247	4.446379219
248	4.441534835
249	4.439078381
250	4.435387612
251	4.429171601
252	4.425995349
253	4.422892064
254	4.417209283
255	4.415096908
256	4.411732456
257	4.410055081
258	4.404429915
259	4.401947103
260	4.398632869
261	4.394783636
262	4.387722562
263	4.385887541
264	4.38248015
265	4.376711718
266	4.376504948
267	4.375503408
268	4.373686229
269	4.370017055
270	4.366865705
271	4.360488031
272	4.357117656
273	4.352941345
274	4.350847066
275	4.347252825
276	4.345997086
277	4.341880275
278	4.337544149
279	4.335140394
280	4.329840975
281	4.326482989
282	4.323220746
283	4.318279466
284	4.315482631
285	4.31282219
286	4.311574596
287	4.306960306
288	4.302040449
289	4.299539107
290	4.298480067
291	4.29643021
292	4.295429902
293	4.288675828
294	4.287784269
295	4.285165382
296	4.282782878
297	4.280995753
298	4.279392039
299	4.27408485
300	4.272577307
301	4.268256238
302	4.262246258
303	4.25859905
304	4.255819958
305	4.254264454
306	4.247730142
307	4.241880707
308	4.235855303
309	4.230879116
310	4.2269807
311	4.224960276
312	4.222855775
313	4.221152174
314	4.21461605
315	4.209144867
316	4.207830765
317	4.205521409
318	4.200575015
319	4.197878116
320	4.196185981
321	4.191450408
322	4.190066357
323	4.186233759
324	4.182606466
325	4.1803238
326	4.179281352
327	4.176071261
328	4.173221016
329	4.167815579
330	4.161804194
331	4.159527234
332	4.15591578
333	4.155121331
334	4.15214839
335	4.147282845
336	4.141953963
337	4.137269679
338	4.133323028
339	4.130828728
340	4.130545961
341	4.123831655
342	4.120199682
343	4.118850185
344	4.116089504
345	4.112835456
346	4.110338098
347	4.108452854
348	4.10379328
349	4.101405895
350	4.100557437
351	4.098834545
352	4.095576021
353	4.094228251
354	4.09157219
355	4.090675184
356	4.088396041
357	4.08548655
358	4.083426722
359	4.081778296
360	4.079264414
361	4.076103736
362	4.073545999
363	4.068436352
364	4.067235928
365	4.06664893
366	4.064421057
367	4.062922768
368	4.058427733
369	4.056302248
370	4.052404219
371	4.049971669
372	4.045977513
373	4.042143174
374	4.040097522
375	4.037754
376	4.036787124
377	4.032571318
378	4.031639975
379	4.029238859
380	4.027020716
381	4.023615461
382	4.021660291
383	4.017782347
384	4.01349074
385	4.012416146
386	4.008917386
387	4.008066612
388	4.006756889
389	4.004709476
390	4.002107219
391	3.999398436
392	3.994453314
393	3.99220155
394	3.989763679
395	3.9864212
396	3.984070001
397	3.982295453
398	3.980912046
399	3.980275856
400	3.979380543
401	3.978123634
402	3.975458871
403	3.974231494
404	3.972064603
405	3.971063991
406	3.969050298
407	3.967963891
408	3.965160425
409	3.96362872
410	3.960529521
411	3.956775817
412	3.951534091
413	3.949063849
414	3.946111218
415	3.94359556
416	3.940914463
417	3.939896389
418	3.936013051
419	3.934474434
420	3.93322351
421	3.932616978
422	3.928272167
423	3.92693779
424	3.922756634
425	3.919650867
426	3.915735432
427	3.910175397
428	3.908310783
429	3.908159225
430	3.904326671
431	3.9037661
432	3.902301215
433	3.899544607
434	3.899030107
435	3.897663491
436	3.894705336
437	3.89172353
438	3.890755874
439	3.887245593
440	3.886276031
441	3.883303172
442	3.882132543
443	3.882037953
444	3.877833402
445	3.876509605
446	3.872852115
447	3.870202767
448	3.867835146
449	3.864574475
450	3.860527949
451	3.856445455
452	3.852739559
453	3.851365573
454	3.847853353
455	3.844896752
456	3.841580695
457	3.838773888
458	3.835983324
459	3.833842643
460	3.831636479
461	3.831354829
462	3.83037066
463	3.827431547
464	3.825762735
465	3.824249367
466	3.8241482
467	3.819765393
468	3.817827892
469	3.814242634
470	3.810267048
471	3.807298583
472	3.807219908
473	3.805016246
474	3.801804259
475	3.798556584
476	3.798252135
477	3.796314496
478	3.795876989
479	3.792973316
480	3.790777886
481	3.789178846
482	3.788698892
483	3.787459074
484	3.78475298
485	3.782809865
486	3.781196852
487	3.777239474
488	3.776305126
489	3.773915376
490	3.769585647
491	3.768280328
492	3.766638494
493	3.763249836
494	3.760530128
495	3.757601297
496	3.754546482
497	3.752208871
498	3.749178982
499	3.747780256
500	3.743674702
501	3.741316041
502	3.739998279
503	3.738101602
504	3.734405514
505	3.731389557
506	3.729037768
507	3.727527835
508	3.725829258
509	3.720016757
510	3.717777893
511	3.716468307
512	3.715861612
513	3.711858805
514	3.7106395
515	3.707946096
516	3.705555774
517	3.700988201
518	3.697416224
519	3.69503107
520	3.690391125
521	3.68945269
522	3.686493311
523	3.683654475
524	3.682601592
525	3.679946317
526	3.676634488
527	3.675411239
528	3.675309866
529	3.67255835
530	3.670338863
531	3.66967331
532	3.668750956
533	3.667033548
534	3.663636817
535	3.661628613
536	3.659275798
537	3.655290776
538	3.651739977
539	3.651009249
540	3.650705197
541	3.648719252
542	3.645744665
543	3.643913177
544	3.640123015
545	3.63741741
546	3.636789623
547	3.636045978
548	3.633390927
549	3.631126518
550	3.629980057
551	3.628619919
552	3.627057522
553	3.625452255
554	3.624994638
555	3.622259358
556	3.617583953
557	3.614735343
558	3.611623741
559	3.609268882
560	3.605522204
561	3.601737321
562	3.601203782
563	3.601143002
564	3.600512456
565	3.59898732
566	3.594985909
567	3.593287465
568	3.589783092
569	3.58594945
570	3.583162791
571	3.581829156
572	3.581114834
573	3.579593543
574	3.576342942
575	3.572012001
576	3.571930267
577	3.570481016
578	3.567923633
579	3.564768457
580	3.560461171
581	3.559176644
582	3.556528116
583	3.553749627
584	3.550998605
585	3.549526489
586	3.549086964
587	3.546141947
588	3.542736285
589	3.539576188
590	3.537385488
591	3.535516031
592	3.533906286
593	3.530669199
594	3.527165012
595	3.525054745
596	3.521847034
597	3.517735749
598	3.517178935
599	3.517008857
600	3.515185649
601	3.514173825
602	3.510860757
603	3.507601623
604	3.505314025
605	3.504499841
606	3.503733687
607	3.500448299
608	3.497409509
609	3.49478463
610	3.492494538
611	3.491022848
612	3.487767241
613	3.487169351
614	3.484984782
615	3.483478829
616	3.481245568
617	3.478615244
618	3.477245079
619	3.475093811
620	3.473036075
621	3.469386497
622	3.468740469
623	3.465625455
624	3.462575944
625	3.461155738
626	3.458403115
627	3.45732617
628	3.454674716
629	3.454144275
630	3.451210819
631	3.44949432
632	3.447012645
633	3.445765526
634	3.441831301
635	3.440796722
636	3.437947424
637	3.435519522
638	3.433050561
639	3.428985302
640	3.427694236
641	3.425921519
642	3.422139168
643	3.420191085
644	3.419925513
645	3.416869189
646	3.416606258
647	3.413075408
648	3.411569713
649	3.410168216
650	3.407527328
651	3.405474403
652	3.403773388
653	3.401692661
654	3.399120655
655	3.398548555
656	3.39752198
657	3.395883173
658	3.394617847
659	3.392270187
660	3.391387069
661	3.390322787
662	3.388342175
663	3.386180993
664	3.381498562
665	3.380171193
666	3.377456349
667	3.376661588
668	3.374629118
669	3.371421527
670	3.371270715
671	3.369367121
672	3.3676044
673	3.364452976
674	3.361399389
675	3.359937261
676	3.357396832
677	3.355920486
678	3.354398377
679	3.351061365
680	3.350468265
681	3.347726805
682	3.346507454
683	3.345552326
684	3.343420544
685	3.341959942
686	3.34111782
687	3.338230915
688	3.337979918
689	3.335611573
690	3.33478112
691	3.332646634
692	3.331793992
693	3.33174395
694	3.331211798
695	3.327559835
696	3.326304292
697	3.325803271
698	3.324746005
699	3.323082411
700	3.322808426
701	3.321569681
702	3.319815519
703	3.319094478
704	3.316447512
705	3.31148065
706	3.310541483
707	3.307864305
708	3.306361252
709	3.304940598
710	3.303166639
711	3.301424285
712	3.300732691
713	3.300164633
714	3.298017533
715	3.295014624
716	3.294815427
717	3.294195078
718	3.290540191
719	3.288162713
720	3.283892153
721	3.283264542
722	3.281848591
723	3.281006522
724	3.280801948
725	3.279549153
726	3.278582769
727	3.277619513
728	3.276246893
729	3.275287576
730	3.275014425
731	3.270689361
732	3.267708891
733	3.266750039
734	3.264548616
735	3.263011342
736	3.262444494
737	3.259698492
738	3.258871808
739	3.257992046
740	3.257789461
741	3.257175184
742	3.255839218
743	3.253561307
744	3.253405353
745	3.251034054
746	3.247651908
747	3.246267041
748	3.245976217
749	3.245575425
750	3.244434478
751	3.243798488
752	3.2404529
753	3.23734052
754	3.236635892
755	3.234032899
756	3.232404725
757	3.230047655
758	3.229177171
759	3.227682025
760	3.226621163
761	3.224847428
762	3.224307263
763	3.221490771
764	3.218957384
765	3.21446471
766	3.212435033
767	3.209834212
768	3.2078997
769	3.204436571
770	3.203283583
771	3.20204085
772	3.199509181
773	3.198143657
774	3.196356255
775	3.193601232
776	3.192773024
777	3.19209006
778	3.189300554
779	3.18736201
780	3.187051843
781	3.18577893
782	3.185068559
783	3.18500922
784	3.182279617
785	3.181421172
786	3.181186406
787	3.18020597
788	3.179021211
789	3.177702283
790	3.17506079
791	3.172724649
792	3.17035933
793	3.168004248
794	3.167448212
795	3.164725803
796	3.163123163
797	3.161742011
798	3.158617907
799	3.156117597
800	3.15569273
801	3.155438625
802	3.15416105
803	3.153880557
804	3.151490429
805	3.147994853
806	3.145307343
807	3.142485702
808	3.142281821
809	3.140952809
810	3.140480122
811	3.138246736
812	3.135968197
813	3.134631106
814	3.133190817
815	3.130211075
816	3.128588544
817	3.126764485
818	3.125124376
819	3.124383784
820	3.121887141
821	3.12097251
822	3.117681722
823	3.115027159
824	3.113953386
825	3.113278194
826	3.110918011
827	3.109624928
828	3.108320838
829	3.106704982
830	3.105202532
831	3.103982484
832	3.103515721
833	3.10172228
834	3.100289548
835	3.096399748
836	3.094284846
837	3.092270574
838	3.091159927
839	3.088985566
840	3.088398331
841	3.086738213
842	3.084760451
843	3.08363532
844	3.082594625
845	3.080375885
846	3.077887384
847	3.075967263
848	3.074386991
849	3.074260824
850	3.072614291
851	3.07057565
852	3.070364372
853	3.068697347
854	3.067731212
855	3.066335221
856	3.064796831
857	3.063039465
858	3.062199946
859	3.061009645
860	3.060305838
861	3.059421034
862	3.057772185
863	3.057058447
864	3.055002276
865	3.054841715
866	3.053515971
867	3.050964938
868	3.049735778
869	3.048281715
870	3.04818238
871	3.045368403
872	3.044298948
873	3.043424108
874	3.041894937
875	3.037321156
876	3.037263404
877	3.036530771
878	3.034325055
879	3.033114799
880	3.032659359
881	3.031176984
882	3.03111502
883	3.028792004
884	3.027325278
885	3.027023908
886	3.025025226
887	3.024548839
888	3.022018597
889	3.021062445
890	3.020062203
891	3.018537929
892	3.016559654
893	3.01590486
894	3.013011795
895	3.010357602
896	3.010322668
897	3.01001191
898	3.008856858
899	3.008234319
900	3.005910927
901	3.003129828
902	3.000411482
903	2.997594548
904	2.997057536
905	2.994426158
906	2.992813242
907	2.990524464
908	2.989892545
909	2.989444207
910	2.985636863
911	2.985182321
912	2.983663939
913	2.98257794
914	2.981657784
915	2.979989313
916	2.978670972
917	2.977376209
918	2.974856606
919	2.974600497
920	2.972959115
921	2.971220031
922	2.970450364
923	2.967964456
924	2.967607715
925	2.966797594
926	2.966149636
927	2.965722679
928	2.963598913
929	2.959952095
930	2.958681918
931	2.956861619
932	2.955355102
933	2.953821551
934	2.953191191
935	2.952242057
936	2.951279298
937	2.950311044
938	2.947456894
939	2.946746896
940	2.945405917
941	2.943076994
942	2.941333196
943	2.939757169
944	2.938738145
945	2.938635065
946	2.938152059
947	2.937152159
948	2.935589665
949	2.934379821
950	2.932258352
951	2.931648587
952	2.929558002
953	2.928291152
954	2.927603635
955	2.925479576
956	2.924480065
957	2.923568497
958	2.922216067
959	2.921388515
960	2.919254237
961	2.918068667
962	2.916365201
963	2.914922502
964	2.913232135
965	2.911238009
966	2.909131369
967	2.90762468
968	2.907444864
969	2.906888647
970	2.903895221
971	2.901767207
972	2.901312396
973	2.89959734
974	2.898582264
975	2.897510778
976	2.895852246
977	2.894721257
978	2.894076376
979	2.894047346
980	2.893769745
981	2.892511887
982	2.891132621
983	2.88801811
984	2.887333605
985	2.884178126
986	2.883750612
987	2.881554881
988	2.880394521
989	2.879635968
990	2.876278394
991	2.872964897
992	2.87150454
993	2.869642893
994	2.867282221
995	2.86644973
996	2.865106838
997	2.86401472
998	2.863914352
999	2.861095507
