iter	RMSE
0	14.51260247
1	14.18793039
2	13.81389521
3	13.4453113
4	13.10451438
5	12.78041257
6	12.48324064
7	12.21836567
8	11.94876591
9	11.66539822
10	11.4070792
11	11.1717534
12	10.94126276
13	10.71289983
14	10.46537036
15	10.23896843
16	10.01915207
17	9.823011093
18	9.637059851
19	9.446193958
20	9.270941228
21	9.08877506
22	8.908760655
23	8.748971767
24	8.59449559
25	8.439689203
26	8.318331746
27	8.19711653
28	8.082788429
29	7.959006026
30	7.833153943
31	7.716570193
32	7.612885893
33	7.501593334
34	7.404179127
35	7.309013209
36	7.216641086
37	7.131293142
38	7.047070177
39	6.97042284
40	6.885019214
41	6.81711487
42	6.74585543
43	6.679094843
44	6.613757036
45	6.541711917
46	6.482924246
47	6.426858118
48	6.369221099
49	6.318542106
50	6.267182528
51	6.218718706
52	6.176589122
53	6.136147315
54	6.091312689
55	6.054996543
56	6.017252244
57	5.975107242
58	5.936879857
59	5.902289344
60	5.871598131
61	5.836438372
62	5.800627268
63	5.77322472
64	5.743746685
65	5.717390368
66	5.689902972
67	5.664126763
68	5.640156315
69	5.620644233
70	5.593109084
71	5.569433925
72	5.545789087
73	5.525376569
74	5.507442652
75	5.48839542
76	5.472094365
77	5.45858866
78	5.440496829
79	5.424947957
80	5.405409143
81	5.386445063
82	5.370567336
83	5.354638342
84	5.336403808
85	5.316326143
86	5.298927975
87	5.285473537
88	5.273292177
89	5.25838344
90	5.246348331
91	5.236453705
92	5.223694483
93	5.214165129
94	5.201782565
95	5.190744966
96	5.182683564
97	5.171209649
98	5.157838934
99	5.14969114
100	5.14081507
101	5.132301171
102	5.123242461
103	5.114364086
104	5.107589854
105	5.099770214
106	5.0883543
107	5.081958334
108	5.073841949
109	5.064534464
110	5.055003398
111	5.047672958
112	5.042171801
113	5.034976365
114	5.028211158
115	5.020258166
116	5.015333742
117	5.010189038
118	5.004275854
119	4.997278795
120	4.99421928
121	4.987726831
122	4.980753029
123	4.97591622
124	4.972477351
125	4.965879397
126	4.957991979
127	4.954899914
128	4.950008159
129	4.942336003
130	4.93425305
131	4.930821482
132	4.923095988
133	4.915802586
134	4.91133933
135	4.907883347
136	4.905699617
137	4.901822212
138	4.897291098
139	4.89451787
140	4.890232211
141	4.888411711
142	4.882902937
143	4.878154491
